id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
12621574	Researchers make a “diffusive” memri	Researchers make a “diffusive” memristor that emulates how a real synapse work	yexponential	2.978263	1.4771835	story	3.0	72.0	1475398969	15.584232
16084557	Reservoir computing using dynamic me	Reservoir computing using dynamic memristors for temporal information processing	lainon	2.980121	1.4763045	story	3.0	75.0	1515230955	15.581637
24567964	Memristor Crossbars as Easy as Raspb	Memristor Crossbars as Easy as Raspberry Pi	dfischer	2.9757364	1.4792387	story	3.0	35.0	1600873548	15.585493
24656943	This is really interesting work, but	This is really interesting work, but I feel like the way the article summarizes it is getting it wrong.First Single Device To Act Like a NeuronOne thing that’s kept engineers from copying the brain’s power efficiency and quirky computational skill is the lack 	lacker	2.9929073	1.4654129	comment	3.0	12.0	1601592223	15.578023
19649697	However this work doesn't say anythi	"However this work doesn't say anything about how revolutionary for our ordinary use cases some device based on something commonly called memristors could be.Like iPhone: it is not ""fundamental"" in any sense, but one can really see the difference ""before and af"	acqq	2.9765997	1.4793884	comment	3.0	10.5	1555108921	15.58684
34252645	Memristors Run AI Tasks at 1/800th P	Memristors Run AI Tasks at 1/800th Power	mfiguiere	2.978416	1.4766252	story	3.0	40.0	1672870421	15.586185
20578561	Are memristors real? I feel like I'v	"Are memristors real? I feel like I've been hearing about how memristors are going to revolutionize computing for as long as I've been paying attention (~10 years). And yet, they never arrive. I also recall some detractors who say it's all marketing and ""true"" "	peterlk	2.9751992	1.479588	comment	3.0	14.0	1564607286	15.585103
18477914	Can’t wait to have some of these mem	Can’t wait to have some of these memristors in my phone, powered by graphene batteries, running on clean electricity from the regional fusion plant.	aaaaaaaaaab	2.9758642	1.4791454	comment	4.0	12.0	1542496524	15.590145
18879747	So the memristor has been physically	So the memristor has been physically proven? I thought there was skepticism over whether it was even possible to make them.	gitgud	2.9750242	1.4799573	comment	4.0	12.5	1547164795	15.58534
18878975	New memristor better mimics synapses	New memristor better mimics synapses	mangoleaf	2.977042	1.4779072	story	4.0	90.0	1547159389	15.584486
16469425	I was speaking recently to a veteran	I was speaking recently to a veteran SV hardware engineer, with a masters in EE from Berkeley, who has worked at leading SV companies. They had never heard of a memristor, neither the device nor the term. Do I live in a bubble, or are you as surprised as I am?	forapurpose	2.9768276	1.4779749	comment	4.0	11.0	1519682944	15.590421
16894818	The future of electronics based on m	The future of electronics based on memristive systems	stealthcat	2.975473	1.478891	story	4.0	87.0	1524374189	15.585975
25642702	Related to this, but why do people c	"Related to this, but why do people claim that the memristor is a ""fundamental"" circuit element? It seems to me that it's just a generalization of a resistor where the resistance depends on the integral of the current. There are already all sorts of circuit com"	krackers	2.9740806	1.4803315	comment	4.0	14.0	1609827128	15.585701
25938224	I am surprised people have high expe	I am surprised people have high expectations from memristors. They are just another way to build an analog computer -- better for machine learning, worse for classical ODEs.But we have not used analog computers for 50 years, and for a good reason -- they are n	theamk	2.979078	1.4764203	comment	4.0	20.5	1611808492	15.583751
