id	x	y	type	relevance	size	year	umap1d	hovertext	url	author
33215060	6.759541	-3.3907163	comment	3.0	12.5	1665843377	-11.545196	"or:""An argument for Gemini.""https://en.wikipedia.org/wiki/Gemini_(protocol)#Design"		RunSet
35337545	6.981541	-3.1785314	comment	3.0	12.0	1679992796	-10.5765915	Copilot and GPT are going after these teams first.		thallium205
38545427	6.762222	-3.2840743	comment	3.0	15.0	1701877777	-11.228179	Pro benchmarks are here: https://storage.googleapis.com/deepmind-media/gemini/gemini_...Sadly it's 3.5 quality, :(		KaoruAoiShiho
38546103	6.766854	-3.384433	comment	3.0	16.5	1701880388	-11.533877	To quote Gemini, what the quack! Even with the understanding that these are handpicked interactions that are likely to be among the system's best responses, that is an extremely impressive level of understanding and reasoning.		ACS_Solver
27491071	6.768613	-3.3981047	comment	3.0	12.5	1623575915	-11.520285	I would say Gemini have about the same characteristics as Hacker News which is why we love it so much!		kissgyorgy
27491160	6.773544	-3.441682	comment	3.0	11.0	1623576847	-11.591643	"HN is IMHO a good counter-response: It works just as it is on the web, and you afaik couldn't build it on Gemini, because having forms etc is ""going to far"" for Gemini. (And to be fair, if your model ..."		detaro
27491580	6.774578	-3.4669812	comment	3.0	15.5	1623582589	-11.60908	I'm not a part of the Gemini community, but if I had to guess:* caching is like alcohol: it is both the cause of and solution to all of life's problems* nothing Gemini serves should be so large as to ...		AnIdiotOnTheNet
23162307	6.7811046	-3.4650211	comment	3.0	14.5	1589332512	-11.62628	"For anyone curious, because Gemini is relatively new and kind of has flown under the radar:### 1.1 What is Gemini?Gemini is a new application-level internet protocol for the
distribution of arbitrary ..."		kick
23314609	6.776931	-3.4679184	comment	3.0	10.5	1590517266	-11.569874	"I love the idea behind Gemini, and on a similar note, I'm wondering: is there a name for the back-to-basics, web 1.0 philosophy?  Like, a name for the ""sites that look like https://motherfuckingwebsite.com "" ?"		Taikonerd
28601084	6.770412	-3.4183679	comment	3.0	11.5	1632187491	-11.551953	Restricting Gemini to just long-form text (one way consumption) is really reducing the possibilities Gemini can have, IMO. Though the whole minimalist attitude would probably preclude most of them.		sodality2
