id	label	hovertext	author	x	y	type	relevance	size	year	umap1d
33276553	I upgraded from Ubuntu 20.04 to 22.0	I upgraded from Ubuntu 20.04 to 22.04 recently, and am experiencing issues where Firefox feels sluggish and X hangs for a second when I type in the terminal too quickly. Makes me wanna move away from Ubuntu. Also the idea of these major updates where the packa	stabbles	14.895415	8.456529	comment	3.0	10.5	1666281132	-9.290453
26749652	A lot of this sounds familiar to me—	A lot of this sounds familiar to me— I maintain a hodgepodge build tool/pipeline at my org whose current output is a monolithic mega-deb file which is becoming unwieldy on several fronts (storage, transfer, compression time). I'm really interested in the nix p	mikepurvis	14.897471	8.462179	comment	3.0	12.5	1617971196	-9.39908
26750606	"> If you use Nix in a ""drive-by"" kin"	"> If you use Nix in a ""drive-by"" kind of way, it's very hard to make any inroads into the language. The documentation and tutorials are not really intended for a casual user - it is expected you will sit down with the Nix site like a good book, and go at it fr"	oblio	14.89883	8.4635515	comment	3.0	10.5	1617976462	10.53744
37772556	Because I don't want to learn anothe	Because I don't want to learn another complex DSL just to install some packages. Whether Nix is the promised land or not, Brew works just fine 99% of the time and I have stuff to do.	cedws	14.895898	8.459039	comment	3.0	14.0	1696457761	-9.228151
37819192	Flakes has an unfortunate past [1]. 	Flakes has an unfortunate past [1]. The fact that so many people are using Flakes now and treating them as stable makes it effectively impossible to make drastic changes, even though the design is flawed in many ways [2]. Nevertheless, the Nix team is discussi	infinisil	14.898965	8.466583	comment	3.0	11.5	1696850568	10.632177
15011669	maybe they should switch to Nix... w	maybe they should switch to Nix... wait!	k__	14.898614	8.464365	comment	3.0	15.0	1502737768	10.567975
27505618	Is there greater context here that h	Is there greater context here that helps explain what's going on? Reading the comments in the thread didn't clarify much for me as someone unfamiliar with NixOS, their apparently unique Python packaging scheme, and Home Assistant.	63	14.898559	8.463647	comment	3.0	19.0	1623692671	10.616116
27825632	To others who might be interested in	To others who might be interested in trying Nix instead of Homebrew:There is a `brew install` equivalent in vanilla Nix -- `nix-env` provides an imperative interface pretty similiar to `brew`.`nix-darwin` is a third-party thing that tries to give you a NixOS-l	ianthehenry	14.898099	8.462534	comment	3.0	13.0	1626206763	-9.30574
35167222	> worlds better than the old ways of	> worlds better than the old ways of managing dependencies and making sure everyone on a project is aligned on what versions of things are installed.And Nix is worlds better than even this. Imagine!	pmarreck	14.898276	8.462771	comment	3.0	16.0	1678883330	-9.363637
35184108	The caching trick for libsolv here c	The caching trick for libsolv here could be a game changer for performance in a lot of Linux distro package managers, where libsolv's completeness comes at a substantial performance cost.I've never looked too deeply into how conda works because I'm not that in	pxc	14.897684	8.4621	comment	3.0	10.5	1678983663	-9.429203
15269987	In view of some replies downthread: 	In view of some replies downthread: yes, application-level management is entirely possible with Nix(OS).Currently, this works best for Haskell, for which there is a sizeable amount (relatively speaking) of Nix tooling available. This is largely because a lot o	mrkgnao	14.89903	8.4644985	comment	3.0	13.5	1505661445	-9.355378
15359515	We have Guix as a system configurati	We have Guix as a system configuration/package manager, the GNU Shepherd as an init, and the GuixSD initrd itself, all of which are written in Guile Scheme.With the GNU Hurd important parts of the OS could be written in Scheme as well.The problems start with t	rekado	14.879548	8.426309	comment	3.0	17.0	1506622590	-10.130376
15479236	Naive question:Isn't all that also t	Naive question:Isn't all that also true for Guix?If so, why do your prefer Nix over Guix?	vog	14.882164	8.435338	comment	3.0	14.5	1508100732	10.52986
15734704	What I'd really love to see is a mar	What I'd really love to see is a marriage between NixOS and Qubes, allowing for full-system declarative configuration, including the various systems which will be running under Qubes.NixOS has containers that show how this could work, but they're only via syst	Jeaye	14.892781	8.450621	comment	3.0	11.5	1511111553	-9.390512
38240974	I love nix. I have also wasted far t	I love nix. I have also wasted far too much time trying to write my own expressions when just typing “brew install ___” would have let my get back to work.My biggest issue with homebrew is you’re always at head and you always upgrade the world. This is not goo	MarkMarine	14.897967	8.462858	comment	3.0	11.0	1699802962	-9.353339
38242334	By the way, how production-ready is 	By the way, how production-ready is nixos-infect for installing NixOS on VPSes that don't support NixOS out of the box? I've been meaning to do some new deployments with NixOS, and nixos-infect seems to be the recommended way from several resources, but the wa	qazxcvbnm	14.8984995	8.463616	comment	3.0	10.5	1699810818	-3.0680244
38501453	It's not simple. The nix programming	It's not simple. The nix programming language is like untyped ML. Most people aren't used to it and even if you are familiar with it it gets hella hard to read. Learning curve is huge.One docker file and a poetry file works just as well. And is simpler. It's l	corethree	14.897573	8.461096	comment	3.0	12.5	1701546968	-9.348957
27129071	Many design decisions are different.	"Many design decisions are different. Nix and Guix are each other's Bizarro. It's a common misconception that Guix is just ""Nix with Scheme"" or ""Nix without systemd"" but those are frankly the least interesting differences.An example is that the package definiti"	medstrom	14.888201	8.445666	comment	3.0	13.5	1620819088	10.540264
27294250	I'd been wondering how good pgksrc i	I'd been wondering how good pgksrc is on macOS for a little while, previously having used Homebrew wherever Nixpkgs was inconvenient or incomplete. Could pkgsrc could be a better choice?pkgsrc is relatively nice for a cross-platform, source-based package manag	pxc	14.892748	8.450138	comment	3.0	20.5	1622053626	-9.118663
27324164	Summer of Nix	Summer of Nix	jiehong	14.897475	8.463184	story	3.0	38.0	1622282166	10.546383
27370224	> So if I understand correctly, I co	> So if I understand correctly, I could declaratively specify my workstation, say I want vim, podman, codium, kubectl, curl, tmux, firefox, zettlr. I could put this in a configuration and have my workstation anywhere I can grab that from?Kind of. It works very	Nullabillity	14.897575	8.461277	comment	3.0	12.0	1622649530	-9.379719
27479648	I honestly believe that Guix will ev	I honestly believe that Guix will eventually pull out ahead of NixOS, simply because its going to be part of Debian 11.  NixOS is a bit easier to set up and use for now, especially for provisioning simple linux servers around commonly used packages.	thinkyfish	14.88843	8.446085	comment	3.0	10.5	1623453325	10.549549
27479658	Guix use Scheme/Guile. It's way sane	Guix use Scheme/Guile. It's way saner that the Nix custom language. The biggest pro/cons is that they are flexible dynamic languages. So when you define your deployment, you need to code very defensively because no type system will support you and find mistake	cedricgle	14.88491	8.441472	comment	3.0	15.0	1623453374	10.535611
